state,Donald Trump,Joe Biden,Other Candidates,tot_death,tot_cases
Alabama,1434159,843473,32268,2987,195929
Alaska,139264,91497,9473,84,16360
Arizona,1642379,1655192,51187,6020,249818
Arkansas,757052,418051,34269,2003,114161
California,5370182,10270877,334170,17686,934672
Colorado,1346199,1779938,86032,2311,114709
Connecticut,714176,1079168,28534,4634,74843
Delaware,200603,296268,7139,712,25534
District of Columbia,16306,285728,7156,647,17524
Florida,5667474,5294767,113205,16890,805924
Georgia,2457794,2471895,62509,8029,364589
Hawaii,196602,365802,11450,218,15229
Idaho,554019,286991,26961,647,67024
Illinois,2669746,3675643,121469,10161,436277
Indiana,1727234,1239771,65020,4439,188066
Iowa,897012,758205,32477,1765,133762
Kansas,753370,551199,29761,1046,89277
Kentucky,1326347,772223,36623,1503,111379
Louisiana,1255776,856034,36252,5951,189148
Maine,341949,420357,24031,150,7077
Maryland,900082,1715498,47885,4172,148766
Massachusetts,1130839,2271554,79405,10017,167204
Michigan,2647004,2795649,88676,7761,207763
Minnesota,1485330,1718728,68403,2553,157096
Mississippi,688745,452795,17822,3397,122275
Missouri,1711848,1242851,55617,3064,190424
Montana,341763,243714,17300,399,35159
Nebraska,551499,368994,21987,660,74060
Nevada,634701,671427,30279,1807,103025
New Hampshire,365660,424937,13856,483,11448
New Jersey,1609689,2258583,58275,16371,242825
New Mexico,401197,499378,20355,1045,49240
New York,2852042,3701835,93141,9290,248091
North Carolina,2734632,2659762,71453,4457,280377
North Dakota,235479,114863,11314,568,48301
Ohio,3074400,2603677,86510,5373,226138
Oklahoma,1020280,503890,36529,1382,132966
Oregon,947519,1327416,74348,701,46460
Pennsylvania,3326687,3372303,85469,8855,214871
Rhode Island,199810,306113,7580,1212,34543
South Carolina,1385090,1091518,37216,3968,179952
South Dakota,261107,150475,11095,446,48854
Tennessee,1849820,1139376,60318,3454,266357
Texas,5866019,5218943,170709,18194,916773
Utah,818784,527607,57361,620,119375
Vermont,111131,227231,11816,58,2267
Virginia,1967598,2404211,70240,3677,185837
Washington,1555447,2341901,103331,2400,110011
West Virginia,542670,234197,13386,469,25593
Wisconsin,1610030,1630569,56874,2171,251032
Wyoming,193454,73445,9629,93,14619
